Position,Constructor,Points
1,FERRARI,170
2,MCLAREN MERCEDES,152
3,WILLIAMS BMW,36
4,BENETTON PLAYLIFE,20
5,BAR HONDA,20
6,JORDAN MUGEN HONDA,17
7,ARROWS SUPERTEC,7
8,SAUBER PETRONAS,6
9,JAGUAR COSWORTH,4
