Position,Constructor,Points
1,LOTUS CLIMAX,54
2,BRM,36
3,BRABHAM CLIMAX,28
4,FERRARI,26
5,COOPER CLIMAX,25
6,BRP BRM,6
7,PORSCHE,5
8,LOTUS BRM,4
