Position,Driver,Nationality,Constructor,Points
1,Jochen Rindt,AUT,LOTUS FORD,45
2,Jacky Ickx,BEL,FERRARI,40
3,Clay Regazzoni,SUI,FERRARI,33
4,Denny Hulme,NZL,MCLAREN FORD,27
5,Jack Brabham,AUS,BRABHAM FORD,25
5,Jackie Stewart,GBR,TYRRELL FORD,25
7,Pedro Rodriguez,MEX,BRM,23
7,Chris Amon,NZL,MARCH FORD,23
9,Jean-Pierre Beltoise,FRA,MATRA,16
10,Emerson Fittipaldi,BRA,LOTUS FORD,12
11,Rolf Stommelen,GER,BRABHAM FORD,10
12,Henri Pescarolo,FRA,MATRA,8
13,Graham Hill,GBR,LOTUS FORD,7
14,Bruce McLaren,NZL,MCLAREN FORD,6
15,Mario Andretti,USA,MARCH FORD,4
15,Reine Wisell,SWE,LOTUS FORD,4
17,Ignazio Giunti,ITA,FERRARI,3
17,John Surtees,GBR,SURTEES FORD,3
19,John Miles,GBR,LOTUS FORD,2
19,Johnny Servoz-Gavin,FRA,MARCH FORD,2
19,Jackie Oliver,GBR,BRM,2
22,Dan Gurney,USA,MCLAREN FORD,1
22,Francois Cevert,FRA,MARCH FORD,1
22,Peter Gethin,GBR,MCLAREN FORD,1
22,Derek Bell,GBR,SURTEES FORD,1
