Position,Driver,Nationality,Constructor,Points
1,Ayrton Senna,BRA,MCLAREN HONDA,90
2,Alain Prost,FRA,MCLAREN HONDA,87
3,Gerhard Berger,AUT,FERRARI,41
4,Thierry Boutsen,BEL,BENETTON FORD,27
5,Michele Alboreto,ITA,FERRARI,24
6,Nelson Piquet,BRA,LOTUS HONDA,22
7,Ivan Capelli,ITA,MARCH JUDD,17
8,Derek Warwick,GBR,ARROWS MEGATRON,17
9,Nigel Mansell,GBR,WILLIAMS JUDD,12
10,Alessandro Nannini,ITA,BENETTON FORD,12
11,Riccardo Patrese,ITA,WILLIAMS JUDD,8
12,Eddie Cheever,USA,ARROWS MEGATRON,6
13,Mauricio Gugelmin,BRA,MARCH JUDD,5
14,Jonathan Palmer,GBR,TYRRELL FORD,5
15,Andrea de Cesaris,ITA,RIAL FORD,3
16,Pierluigi Martini,ITA,MINARDI FORD,1
17,Satoru Nakajima,JPN,LOTUS HONDA,1
