Position,Constructor,Points
1,MERCEDES,765
2,RED BULL RACING TAG HEUER,468
3,FERRARI,398
4,FORCE INDIA MERCEDES,173
5,WILLIAMS MERCEDES,138
6,MCLAREN HONDA,76
7,TORO ROSSO FERRARI,63
8,HAAS FERRARI,29
9,RENAULT,8
10,SAUBER FERRARI,2
11,MRT MERCEDES,1
