Position,Constructor,Points
1,MCLAREN TAG,90
2,FERRARI,82
3,LOTUS RENAULT,71
4,WILLIAMS HONDA,71
5,BRABHAM BMW,26
6,LIGIER RENAULT,23
7,RENAULT,16
8,ARROWS BMW,14
9,TYRRELL FORD,4
10,TYRRELL RENAULT,3
