Position,Driver,Nationality,Constructor,Points
1,Emerson Fittipaldi,BRA,LOTUS FORD,61
2,Jackie Stewart,GBR,TYRRELL FORD,45
3,Denny Hulme,NZL,MCLAREN FORD,39
4,Jacky Ickx,BEL,FERRARI,27
5,Peter Revson,USA,MCLAREN FORD,23
6,Francois Cevert,FRA,TYRRELL FORD,15
6,Clay Regazzoni,SUI,FERRARI,15
8,Mike Hailwood,GBR,SURTEES FORD,13
9,Ronnie Peterson,SWE,MARCH FORD,12
9,Chris Amon,NZL,MATRA,12
11,Jean-Pierre Beltoise,FRA,BRM,9
12,Mario Andretti,USA,FERRARI,4
12,Howden Ganley,NZL,BRM,4
12,Brian Redman,GBR,BRM,4
12,Graham Hill,GBR,BRABHAM FORD,4
16,Andrea de Adamich,ITA,SURTEES FORD,3
16,Carlos Reutemann,ARG,BRABHAM FORD,3
16,Carlos Pace,BRA,MARCH FORD,3
19,Tim Schenken,AUS,SURTEES FORD,2
20,Arturo Merzario,ITA,FERRARI,1
20,Peter Gethin,GBR,BRM,1
