Position,Constructor,Points
1,LOTUS FORD,92
2,TYRRELL FORD,82
3,MCLAREN FORD,58
4,BRABHAM FORD,22
5,MARCH FORD,14
6,FERRARI,12
7,BRM,12
8,SHADOW FORD,9
9,SURTEES FORD,7
10,ISO MARLBORO FORD,2
11,TECNO,1
