Position,Driver,Nationality,Constructor,Points
1,Jackie Stewart,GBR,TYRRELL FORD,71
2,Emerson Fittipaldi,BRA,LOTUS FORD,55
3,Ronnie Peterson,SWE,LOTUS FORD,52
4,Francois Cevert,FRA,TYRRELL FORD,47
5,Peter Revson,USA,MCLAREN FORD,38
6,Denny Hulme,NZL,MCLAREN FORD,26
7,Carlos Reutemann,ARG,BRABHAM FORD,16
8,James Hunt,GBR,MARCH FORD,14
9,Jacky Ickx,BEL,ISO MARLBORO FORD,12
10,Jean-Pierre Beltoise,FRA,BRM,9
11,Carlos Pace,BRA,SURTEES FORD,7
12,Arturo Merzario,ITA,FERRARI,6
13,George Follmer,USA,SHADOW FORD,5
14,Jackie Oliver,GBR,SHADOW FORD,4
15,Andrea de Adamich,ITA,BRABHAM FORD,3
15,Wilson Fittipaldi,BRA,BRABHAM FORD,3
17,Niki Lauda,AUT,BRM,2
17,Clay Regazzoni,SUI,BRM,2
19,Chris Amon,NZL,TYRRELL FORD,1
19,Gijs van Lennep,NED,ISO MARLBORO FORD,1
19,Howden Ganley,NZL,ISO MARLBORO FORD,1
