Position,Constructor,Points
1,MCLAREN MERCEDES,156
2,FERRARI,133
3,WILLIAMS MECACHROME,38
4,JORDAN MUGEN HONDA,34
5,BENETTON PLAYLIFE,33
6,SAUBER PETRONAS,10
7,ARROWS,6
8,STEWART FORD,5
9,PROST PEUGEOT,1
