Position,Driver,Nationality,Constructor,Points
1,Jackie Stewart,GBR,MATRA FORD,63
2,Jacky Ickx,BEL,BRABHAM FORD,37
3,Bruce McLaren,NZL,MCLAREN FORD,26
4,Jochen Rindt,AUT,LOTUS FORD,22
5,Jean-Pierre Beltoise,FRA,MATRA FORD,21
6,Denny Hulme,NZL,MCLAREN FORD,20
7,Graham Hill,GBR,LOTUS FORD,19
8,Piers Courage,GBR,BRABHAM FORD,16
9,Jo Siffert,SUI,LOTUS FORD,15
10,Jack Brabham,AUS,BRABHAM FORD,14
11,John Surtees,GBR,BRM,6
12,Chris Amon,NZL,FERRARI,4
13,Richard Attwood,GBR,NULL,3
13,Vic Elford,GBR,MCLAREN FORD,3
13,Pedro Rodriguez,MEX,FERRARI,3
16,Johnny Servoz-Gavin,FRA,MATRA FORD,1
16,Silvio Moser,SUI,BRABHAM FORD,1
16,Jackie Oliver,GBR,BRM,1
