Position,Driver,Nationality,Constructor,Points
1,Emerson Fittipaldi,BRA,MCLAREN FORD,55
2,Clay Regazzoni,SUI,FERRARI,52
3,Jody Scheckter,RSA,TYRRELL FORD,45
4,Niki Lauda,AUT,FERRARI,38
5,Ronnie Peterson,SWE,LOTUS FORD,35
6,Carlos Reutemann,ARG,BRABHAM FORD,32
7,Denny Hulme,NZL,MCLAREN FORD,20
8,James Hunt,GBR,HESKETH FORD,15
9,Patrick Depailler,FRA,TYRRELL FORD,14
10,Jacky Ickx,BEL,LOTUS FORD,12
10,Mike Hailwood,GBR,MCLAREN FORD,12
12,Carlos Pace,BRA,BRABHAM FORD,11
13,Jean-Pierre Beltoise,FRA,BRM,10
14,Jean-Pierre Jarier,FRA,SHADOW FORD,6
14,John Watson,GBR,BRABHAM FORD,6
16,Hans-Joachim Stuck,GER,MARCH FORD,5
17,Arturo Merzario,ITA,ISO MARLBORO FORD,4
18,Graham Hill,GBR,LOLA FORD,1
18,Tom Pryce,GBR,SHADOW FORD,1
18,Vittorio Brambilla,ITA,MARCH FORD,1
