Position,Constructor,Points
1,MCLAREN HONDA,139
2,WILLIAMS RENAULT,125
3,FERRARI,55.5
4,BENETTON FORD,38.5
5,JORDAN FORD,13
6,TYRRELL HONDA,12
7,MINARDI FERRARI,6
8,DALLARA JUDD,5
9,LOTUS JUDD,3
10,BRABHAM YAMAHA,3
11,LOLA FORD,2
12,LEYTON HOUSE ILMOR,1
