Position,Driver,Nationality,Constructor,Points
1,Graham Hill,GBR,BRM,42
2,Jim Clark,GBR,LOTUS CLIMAX,30
3,Bruce McLaren,NZL,COOPER CLIMAX,27
4,John Surtees,GBR,LOLA CLIMAX,19
5,Dan Gurney,USA,PORSCHE,15
6,Phil Hill,USA,FERRARI,14
7,Tony Maggs,RSA,COOPER CLIMAX,13
8,Richie Ginther,USA,BRM,10
9,Jack Brabham,AUS,BRABHAM CLIMAX,9
10,Trevor Taylor,GBR,LOTUS CLIMAX,6
11,Giancarlo Baghetti,ITA,FERRARI,5
12,Lorenzo Bandini,ITA,FERRARI,4
12,Ricardo Rodriguez,MEX,FERRARI,4
14,Willy Mairesse,BEL,FERRARI,3
14,Jo Bonnier,SWE,PORSCHE,3
16,Innes Ireland,GBR,LOTUS CLIMAX,2
16,Carel Godin de Beaufort,NED,PORSCHE,2
18,Masten Gregory,USA,LOTUS BRM,1
18,Neville Lederle,RSA,LOTUS CLIMAX,1
