Position,Driver,Nationality,Constructor,Points
1,Niki Lauda,AUT,FERRARI,64.5
2,Emerson Fittipaldi,BRA,MCLAREN FORD,45
3,Carlos Reutemann,ARG,BRABHAM FORD,37
4,James Hunt,GBR,HESKETH FORD,33
5,Clay Regazzoni,SUI,FERRARI,25
6,Carlos Pace,BRA,BRABHAM FORD,24
7,Jody Scheckter,RSA,TYRRELL FORD,20
7,Jochen Mass,GER,MCLAREN FORD,20
9,Patrick Depailler,FRA,TYRRELL FORD,12
10,Tom Pryce,GBR,SHADOW FORD,8
11,Vittorio Brambilla,ITA,MARCH FORD,6.5
12,Jacques Laffite,FRA,FRANK WILLIAMS RACING CARS/WILLIAMS,6
12,Ronnie Peterson,SWE,LOTUS FORD,6
14,Mario Andretti,USA,PARNELLI FORD,5
15,Mark Donohue,USA,MARCH FORD,4
16,Jacky Ickx,BEL,LOTUS FORD,3
17,Alan Jones,AUS,HILL FORD,2
18,Jean-Pierre Jarier,FRA,SHADOW FORD,1.5
19,Tony Brise,GBR,HILL FORD,1
19,Gijs van Lennep,NED,ENSIGN FORD,1
21,Lella Lombardi,ITA,FRANK WILLIAMS RACING CARS/WILLIAMS,0.5
