Position,Driver,Nationality,Constructor,Points
1,Michael Schumacher,GER,FERRARI,148
2,Rubens Barrichello,BRA,FERRARI,114
3,Jenson Button,GBR,BAR HONDA,85
4,Fernando Alonso,ESP,RENAULT,59
5,Juan Pablo Montoya,COL,WILLIAMS BMW,58
6,Jarno Trulli,ITA,TOYOTA,46
7,Kimi Räikkönen,FIN,MCLAREN MERCEDES,45
8,Takuma Sato,JPN,BAR HONDA,34
9,Ralf Schumacher,GER,WILLIAMS BMW,24
10,David Coulthard,GBR,MCLAREN MERCEDES,24
11,Giancarlo Fisichella,ITA,SAUBER PETRONAS,22
12,Felipe Massa,BRA,SAUBER PETRONAS,12
13,Mark Webber,AUS,JAGUAR COSWORTH,7
14,Olivier Panis,FRA,TOYOTA,6
15,Antonio Pizzonia,BRA,WILLIAMS BMW,6
16,Christian Klien,AUT,JAGUAR COSWORTH,3
17,Cristiano da Matta,BRA,TOYOTA,3
18,Nick Heidfeld,GER,JORDAN FORD,3
19,Timo Glock,GER,JORDAN FORD,2
20,Zsolt Baumgartner,HUN,MINARDI COSWORTH,1
21,Jacques Villeneuve,CAN,RENAULT,0
22,Ricardo Zonta,BRA,TOYOTA,0
23,Marc Gene,ESP,WILLIAMS BMW,0
24,Giorgio Pantano,ITA,JORDAN FORD,0
25,Gianmaria Bruni,ITA,MINARDI COSWORTH,0
