Position,Driver,Nationality,Constructor,Points
1,Sebastian Vettel,GER,RED BULL RACING RENAULT,392
2,Jenson Button,GBR,MCLAREN MERCEDES,270
3,Mark Webber,AUS,RED BULL RACING RENAULT,258
4,Fernando Alonso,ESP,FERRARI,257
5,Lewis Hamilton,GBR,MCLAREN MERCEDES,227
6,Felipe Massa,BRA,FERRARI,118
7,Nico Rosberg,GER,MERCEDES,89
8,Michael Schumacher,GER,MERCEDES,76
9,Adrian Sutil,GER,FORCE INDIA MERCEDES,42
10,Vitaly Petrov,RUS,RENAULT,37
11,Nick Heidfeld,GER,RENAULT,34
12,Kamui Kobayashi,JPN,SAUBER FERRARI,30
13,Paul di Resta,GBR,FORCE INDIA MERCEDES,27
14,Jaime Alguersuari,ESP,STR FERRARI,26
15,Sebastien Buemi,SUI,STR FERRARI,15
16,Sergio Perez,MEX,SAUBER FERRARI,14
17,Rubens Barrichello,BRA,WILLIAMS COSWORTH,4
18,Bruno Senna,BRA,RENAULT,2
19,Pastor Maldonado,VEN,WILLIAMS COSWORTH,1
20,Pedro de la Rosa,ESP,SAUBER FERRARI,0
21,Jarno Trulli,ITA,LOTUS RENAULT,0
22,Heikki Kovalainen,FIN,LOTUS RENAULT,0
23,Vitantonio Liuzzi,ITA,HRT COSWORTH,0
24,Jerome d'Ambrosio,BEL,VIRGIN COSWORTH,0
25,Timo Glock,GER,VIRGIN COSWORTH,0
26,Narain Karthikeyan,IND,HRT COSWORTH,0
27,Daniel Ricciardo,AUS,HRT COSWORTH,0
28,Karun Chandhok,IND,LOTUS RENAULT,0
