Position,Constructor,Points
1,FERRARI,45
2,BRM,42
3,LOTUS CLIMAX,37
4,BRABHAM CLIMAX,30
5,COOPER CLIMAX,16
6,BRABHAM BRM,7
7,BRP BRM,5
8,LOTUS BRM,3
