Position,Constructor,Points
1,LOTUS FORD,59
2,FERRARI,52
3,MARCH FORD,48
4,BRABHAM FORD,35
5,MCLAREN FORD,35
6,BRM,23
7,MATRA,23
8,SURTEES FORD,3
