Position,Constructor,Points
1,FERRARI,158
2,WILLIAMS BMW,144
3,MCLAREN MERCEDES,142
4,RENAULT,88
5,BAR HONDA,26
6,SAUBER PETRONAS,19
7,JAGUAR COSWORTH,18
8,TOYOTA,16
9,JORDAN FORD,13
10,MINARDI COSWORTH,0
