Position,Driver,Nationality,Constructor,Points
1,Phil Hill,USA,FERRARI,34
2,Wolfgang von Trips,GER,FERRARI,33
3,Stirling Moss,GBR,LOTUS CLIMAX,21
3,Dan Gurney,USA,PORSCHE,21
5,Richie Ginther,USA,FERRARI,16
6,Innes Ireland,GBR,LOTUS CLIMAX,12
7,Jim Clark,GBR,LOTUS CLIMAX,11
7,Bruce McLaren,NZL,COOPER CLIMAX,11
9,Giancarlo Baghetti,ITA,FERRARI,9
10,Tony Brooks,GBR,BRM CLIMAX,6
11,Jack Brabham,AUS,COOPER CLIMAX,4
11,John Surtees,GBR,COOPER CLIMAX,4
13,Olivier Gendebien,BEL,LOTUS CLIMAX,3
13,Jackie Lewis,GBR,COOPER CLIMAX,3
13,Jo Bonnier,SWE,PORSCHE,3
13,Graham Hill,GBR,BRM CLIMAX,3
17,Roy Salvadori,GBR,COOPER CLIMAX,2
