Position,Constructor,Points
1,MCLAREN HONDA,141
2,WILLIAMS RENAULT,77
3,FERRARI,59
4,BENETTON FORD,39
5,TYRRELL FORD,16
6,LOTUS JUDD,15
7,ARROWS FORD,13
8,DALLARA FORD,8
9,BRABHAM JUDD,8
10,ONYX FORD,6
11,MINARDI FORD,6
12,MARCH JUDD,4
13,RIAL FORD,3
14,LIGIER FORD,3
15,AGS FORD,1
16,LOLA LAMBORGHINI,1
