Position,Constructor,Points
1,LOTUS FORD,62
2,MCLAREN FORD,49
3,MATRA FORD,45
4,FERRARI,32
5,BRM,28
6,HONDA,14
7,COOPER BRM,14
8,BRABHAM REPCO,10
9,MATRA,8
10,MCLAREN BRM,3
