Position,Constructor,Points
1,MERCEDES,701
2,RED BULL RACING RENAULT,405
3,WILLIAMS MERCEDES,320
4,FERRARI,216
5,MCLAREN MERCEDES,181
6,FORCE INDIA MERCEDES,155
7,STR RENAULT,30
8,LOTUS RENAULT,10
9,MARUSSIA FERRARI,2
10,SAUBER FERRARI,0
11,CATERHAM RENAULT,0
