Position,Constructor,Points
1,LOTUS FORD,61
2,TYRRELL FORD,51
3,MCLAREN FORD,47
4,FERRARI,33
5,SURTEES FORD,18
6,MARCH FORD,15
7,BRM,14
8,MATRA,12
9,BRABHAM FORD,7
