Position,Driver,Nationality,Constructor,Points
1,Sebastian Vettel,GER,RED BULL RACING RENAULT,256
2,Fernando Alonso,ESP,FERRARI,252
3,Mark Webber,AUS,RED BULL RACING RENAULT,242
4,Lewis Hamilton,GBR,MCLAREN MERCEDES,240
5,Jenson Button,GBR,MCLAREN MERCEDES,214
6,Felipe Massa,BRA,FERRARI,144
7,Nico Rosberg,GER,MERCEDES,142
8,Robert Kubica,POL,RENAULT,136
9,Michael Schumacher,GER,MERCEDES,72
10,Rubens Barrichello,BRA,WILLIAMS COSWORTH,47
11,Adrian Sutil,GER,FORCE INDIA MERCEDES,47
12,Kamui Kobayashi,JPN,SAUBER FERRARI,32
13,Vitaly Petrov,RUS,RENAULT,27
14,Nico Hulkenberg,GER,WILLIAMS COSWORTH,22
15,Vitantonio Liuzzi,ITA,FORCE INDIA MERCEDES,21
16,Sebastien Buemi,SUI,STR FERRARI,8
17,Pedro de la Rosa,ESP,SAUBER FERRARI,6
18,Nick Heidfeld,GER,SAUBER FERRARI,6
19,Jaime Alguersuari,ESP,STR FERRARI,5
20,Heikki Kovalainen,FIN,LOTUS COSWORTH,0
21,Jarno Trulli,ITA,LOTUS COSWORTH,0
22,Karun Chandhok,IND,HRT COSWORTH,0
23,Bruno Senna,BRA,HRT COSWORTH,0
24,Lucas di Grassi,BRA,VIRGIN COSWORTH,0
25,Timo Glock,GER,VIRGIN COSWORTH,0
26,Sakon Yamamoto,JPN,HRT COSWORTH,0
27,Christian Klien,AUT,HRT COSWORTH,0
