Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,28,Gerhard Berger,BER,Ferrari,1:43.582,14
2,27,Jean Alesi,ALE,Ferrari,1:44.012,16
3,0,Damon Hill,HIL,Williams Renault,1:44.026,22
4,5,Michael Schumacher,MSC,Benetton Ford,1:44.268,15
5,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:44.718,19
6,2,David Coulthard,COU,Williams Renault,1:45.146,23
7,4,Mark Blundell,BLU,Tyrrell Yamaha,1:45.474,21
8,7,Mika Hakkinen,HAK,McLaren Peugeot,1:45.487,17
9,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:45.893,17
10,15,Eddie Irvine,IRV,Jordan Hart,1:45.911,23
11,14,Rubens Barrichello,BAR,Jordan Hart,1:45.939,23
12,26,Olivier Panis,PAN,Ligier Renault,1:46.165,18
13,8,Martin Brundle,BRU,McLaren Peugeot,1:46.218,22
14,25,Eric Bernard,BER,Ligier Renault,1:46.290,20
15,12,Johnny Herbert,HER,Lotus Mugen Honda,1:46.630,13
16,10,Gianni Morbidelli,MOR,Footwork Ford,1:46.817,21
17,9,Christian Fittipaldi,FIT,Footwork Ford,1:47.102,21
18,29,Andrea de Cesaris,DEC,Sauber Mercedes,1:47.235,20
19,6,Jos Verstappen,VER,Benetton Ford,1:47.316,11
20,23,Pierluigi Martini,MAR,Minardi Ford,1:47.402,22
21,11,Alessandro Zanardi,ZAN,Lotus Mugen Honda,1:47.425,24
22,20,Erik Comas,COM,Larrousse Ford,1:48.229,24
23,24,Michele Alboreto,ALB,Minardi Ford,1:48.295,21
24,19,Olivier Beretta,BER,Larrousse Ford,1:48.681,24
25,31,David Brabham,BRA,Simtek Ford,1:48.870,19
26,32,Jean-Marc Gounon,GOU,Simtek Ford,1:49.204,15
27,33,Paul Belmondo,BEL,Pacific Ilmor,1:51.122,23
28,34,Bertrand Gachot,GAC,Pacific Ilmor,1:51.292,17
