Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,0,Damon Hill,HIL,Williams Renault,1:24.960,20
2,5,Michael Schumacher,MSC,Benetton Ford,1:24.963,19
3,28,Gerhard Berger,BER,Ferrari,1:24.980,20
4,27,Jean Alesi,ALE,Ferrari,1:25.541,22
5,7,Mika Hakkinen,HAK,McLaren Peugeot,1:26.268,21
6,14,Rubens Barrichello,BAR,Jordan Hart,1:26.271,22
7,2,David Coulthard,COU,Williams Renault,1:26.337,19
8,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:26.414,24
9,8,Martin Brundle,BRU,McLaren Peugeot,1:26.768,24
10,6,Jos Verstappen,VER,Benetton Ford,1:26.841,12
11,4,Mark Blundell,BLU,Tyrrell Yamaha,1:26.920,22
12,15,Eddie Irvine,IRV,Jordan Hart,1:27.065,23
13,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:27.284,19
14,23,Pierluigi Martini,MAR,Minardi Ford,1:27.522,24
15,26,Olivier Panis,PAN,Ligier Renault,1:27.785,21
16,10,Gianni Morbidelli,MOR,Footwork Ford,1:27.886,24
17,24,Michele Alboreto,ALB,Minardi Ford,1:28.100,24
18,29,Andrea de Cesaris,DEC,Sauber Mercedes,1:28.212,22
19,11,Alessandro Zanardi,ZAN,Lotus Mugen Honda,1:28.225,24
20,9,Christian Fittipaldi,FIT,Footwork Ford,1:28.231,22
21,12,Johnny Herbert,HER,Lotus Mugen Honda,1:28.340,24
22,20,Erik Comas,COM,Larrousse Ford,1:28.519,23
23,25,Eric Bernard,BER,Ligier Renault,1:28.955,21
24,19,Olivier Beretta,BER,Larrousse Ford,1:29.299,21
25,31,David Brabham,BRA,Simtek Ford,1:30.690,16
26,32,Jean-Marc Gounon,GOU,Simtek Ford,1:30.722,24
27,34,Bertrand Gachot,GAC,Pacific Ilmor,1:31.496,14
28,33,Paul Belmondo,BEL,Pacific Ilmor,1:32.507,14
