Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Michael Schumacher,MSC,Benetton Ford,1:22.762,17
2,0,Damon Hill,HIL,Williams Renault,1:22.892,23
3,2,Nigel Mansell,MAN,Williams Renault,1:23.392,24
4,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:23.431,18
5,14,Rubens Barrichello,BAR,Jordan Hart,1:23.455,19
6,28,Gerhard Berger,BER,Ferrari,1:23.677,21
7,25,Johnny Herbert,HER,Ligier Renault,1:24.040,23
8,10,Gianni Morbidelli,MOR,Footwork Ford,1:24.079,24
9,7,Mika Hakkinen,HAK,McLaren Peugeot,1:24.122,21
10,15,Eddie Irvine,IRV,Jordan Hart,1:24.157,21
11,26,Olivier Panis,PAN,Ligier Renault,1:24.432,21
12,6,Jos Verstappen,VER,Benetton Ford,1:24.643,13
13,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:24.738,16
14,4,Mark Blundell,BLU,Tyrrell Yamaha,1:24.770,15
15,8,Martin Brundle,BRU,McLaren Peugeot,1:25.110,21
16,27,Jean Alesi,ALE,Ferrari,1:25.182,11
17,23,Pierluigi Martini,MAR,Minardi Ford,1:25.294,23
18,29,Andrea de Cesaris,DEC,Sauber Mercedes,1:25.407,13
19,9,Christian Fittipaldi,FIT,Footwork Ford,1:25.427,24
20,24,Michele Alboreto,ALB,Minardi Ford,1:25.511,23
21,12,Alessandro Zanardi,ZAN,Lotus Mugen Honda,1:25.557,21
22,11,Eric Bernard,BER,Lotus Mugen Honda,1:25.595,23
23,31,David Brabham,BRA,Simtek Ford,1:26.065,23
24,20,Erik Comas,COM,Larrousse Ford,1:26.272,23
25,19,Hideki Noda,NOD,Larrousse Ford,1:27.168,22
26,32,Domenico Schiattarella,SCH,Simtek Ford,1:27.976,22
27,34,Bertrand Gachot,GAC,Pacific Ilmor,1:29.488,17
28,33,Paul Belmondo,BEL,Pacific Ilmor,1:30.234,21
