Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Michael Schumacher,MSC,Benetton Ford,1:21.908,21
2,0,Damon Hill,HIL,Williams Renault,1:22.559,24
3,7,Mika Hakkinen,HAK,McLaren Peugeot,1:22.660,22
4,6,Jyrki Jarvilehto,JAR,Benetton Ford,1:22.983,21
5,14,Rubens Barrichello,BAR,Jordan Hart,1:23.594,23
6,27,Jean Alesi,ALE,Ferrari,1:23.700,23
7,28,Gerhard Berger,BER,Ferrari,1:23.715,19
8,8,Martin Brundle,BRU,McLaren Peugeot,1:23.763,24
9,2,David Coulthard,COU,Williams Renault,1:23.782,19
10,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:23.969,16
11,4,Mark Blundell,BLU,Tyrrell Yamaha,1:23.981,21
12,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:24.254,21
13,15,Eddie Irvine,IRV,Jordan Hart,1:24.930,23
14,24,Michele Alboreto,ALB,Minardi Ford,1:24.996,23
15,10,Gianni Morbidelli,MOR,Footwork Ford,1:25.018,24
16,20,Erik Comas,COM,Larrousse Ford,1:25.050,24
17,19,Olivier Beretta,BER,Larrousse Ford,1:25.161,17
18,23,Pierluigi Martini,MAR,Minardi Ford,1:25.247,16
19,26,Olivier Panis,PAN,Ligier Renault,1:25.577,23
20,25,Eric Bernard,BER,Ligier Renault,1:25.766,24
21,9,Christian Fittipaldi,FIT,Footwork Ford,1:26.084,24
22,12,Johnny Herbert,HER,Lotus Mugen Honda,1:26.397,15
23,11,Alessandro Zanardi,ZAN,Lotus Mugen Honda,1:27.685,16
24,31,David Brabham,BRA,Simtek Ford,1:28.151,20
25,34,Bertrand Gachot,GAC,Pacific Ilmor,1:28.873,13
26,33,Paul Belmondo,BEL,Pacific Ilmor,1:30.657,23
27,32,Andrea Montermini,MON,Simtek Ford,1:31.111,11
