Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Michael Schumacher,MSC,Benetton Ford,1:18.560,18
2,7,Mika Hakkinen,HAK,McLaren Peugeot,1:19.488,22
3,28,Gerhard Berger,BER,Ferrari,1:19.958,20
4,0,Damon Hill,HIL,Williams Renault,1:20.079,22
5,27,Jean Alesi,ALE,Ferrari,1:20.452,18
6,9,Christian Fittipaldi,FIT,Footwork Ford,1:21.053,22
7,10,Gianni Morbidelli,MOR,Footwork Ford,1:21.189,21
8,8,Martin Brundle,BRU,McLaren Peugeot,1:21.222,20
9,23,Pierluigi Martini,MAR,Minardi Ford,1:21.288,18
10,4,Mark Blundell,BLU,Tyrrell Yamaha,1:21.614,14
11,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:21.731,21
12,24,Michele Alboreto,ALB,Minardi Ford,1:21.793,22
13,20,Erik Comas,COM,Larrousse Ford,1:22.211,18
14,15,Andrea de Cesaris,DEC,Jordan Hart,1:22.265,22
15,14,Rubens Barrichello,BAR,Jordan Hart,1:22.359,22
16,12,Johnny Herbert,HER,Lotus Mugen Honda,1:22.375,19
17,6,Jyrki Jarvilehto,JAR,Benetton Ford,1:22.679,22
18,19,Olivier Beretta,BER,Larrousse Ford,1:23.025,22
19,11,Pedro Lamy,LAM,Lotus Mugen Honda,1:23.858,22
20,26,Olivier Panis,PAN,Ligier Renault,1:24.131,16
21,25,Eric Bernard,BER,Ligier Renault,1:24.377,12
22,31,David Brabham,BRA,Simtek Ford,1:24.656,20
23,34,Bertrand Gachot,GAC,Pacific Ilmor,1:26.082,8
24,33,Paul Belmondo,BEL,Pacific Ilmor,1:29.984,10
