Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,2,Ayrton Senna,SEN,Williams Renault,1:21.548,10
2,5,Michael Schumacher,MSC,Benetton Ford,1:21.885,10
3,28,Gerhard Berger,BER,Ferrari,1:22.113,16
4,0,Damon Hill,HIL,Williams Renault,1:22.168,14
5,6,Jyrki Jarvilehto,JAR,Benetton Ford,1:22.717,13
6,27,Nicola Larini,LAR,Ferrari,1:22.841,16
7,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:23.119,10
8,7,Mika Hakkinen,HAK,McLaren Peugeot,1:23.140,22
9,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:23.322,22
10,29,Karl Wendlinger,WEN,Sauber Mercedes,1:23.347,14
11,10,Gianni Morbidelli,MOR,Footwork Ford,1:23.663,20
12,4,Mark Blundell,BLU,Tyrrell Yamaha,1:23.703,21
13,8,Martin Brundle,BRU,McLaren Peugeot,1:23.858,15
14,23,Pierluigi Martini,MAR,Minardi Ford,1:24.078,22
15,24,Michele Alboreto,ALB,Minardi Ford,1:24.276,23
16,9,Christian Fittipaldi,FIT,Footwork Ford,1:24.472,22
17,25,Eric Bernard,BER,Ligier Renault,1:24.678,15
18,20,Erik Comas,COM,Larrousse Ford,1:24.852,16
19,26,Olivier Panis,PAN,Ligier Renault,1:24.996,16
20,12,Johnny Herbert,HER,Lotus Mugen Honda,1:25.114,23
21,15,Andrea de Cesaris,DEC,Jordan Hart,1:25.234,20
22,11,Pedro Lamy,LAM,Lotus Mugen Honda,1:25.295,22
23,19,Olivier Beretta,BER,Larrousse Ford,1:25.991,14
24,31,David Brabham,BRA,Simtek Ford,1:26.817,10
25,34,Bertrand Gachot,GAC,Pacific Ilmor,1:27.143,21
26,32,Roland Ratzenberger,RAT,Simtek Ford,1:27.584,16
27,33,Paul Belmondo,BEL,Pacific Ilmor,1:27.881,24
28,14,Rubens Barrichello,BAR,Jordan Hart,14:57.323,1
