Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Michael Schumacher,MSC,Benetton Ford,1:26.178,22
2,27,Jean Alesi,ALE,Ferrari,1:26.277,24
3,28,Gerhard Berger,BER,Ferrari,1:27.059,24
4,0,Damon Hill,HIL,Williams Renault,1:27.094,24
5,2,David Coulthard,COU,Williams Renault,1:27.211,20
6,14,Rubens Barrichello,BAR,Jordan Hart,1:27.554,21
7,7,Mika Hakkinen,HAK,McLaren Peugeot,1:27.616,24
8,15,Eddie Irvine,IRV,Jordan Hart,1:27.780,24
9,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:27.827,20
10,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:27.977,21
11,10,Gianni Morbidelli,MOR,Footwork Ford,1:27.989,24
12,8,Martin Brundle,BRU,McLaren Peugeot,1:28.197,24
13,4,Mark Blundell,BLU,Tyrrell Yamaha,1:28.579,23
14,29,Andrea de Cesaris,DEC,Sauber Mercedes,1:28.694,24
15,23,Pierluigi Martini,MAR,Minardi Ford,1:28.847,23
16,9,Christian Fittipaldi,FIT,Footwork Ford,1:28.882,24
17,12,Johnny Herbert,HER,Lotus Mugen Honda,1:28.889,22
18,24,Michele Alboreto,ALB,Minardi Ford,1:28.903,21
19,26,Olivier Panis,PAN,Ligier Renault,1:28.950,24
20,6,Jyrki Jarvilehto,JAR,Benetton Ford,1:28.993,21
21,20,Erik Comas,COM,Larrousse Ford,1:29.039,23
22,19,Olivier Beretta,BER,Larrousse Ford,1:29.403,24
23,11,Alessandro Zanardi,ZAN,Lotus Mugen Honda,1:30.160,23
24,25,Eric Bernard,BER,Ligier Renault,1:30.493,22
25,31,David Brabham,BRA,Simtek Ford,1:31.632,20
26,34,Bertrand Gachot,GAC,Pacific Ilmor,1:32.838,22
27,33,Paul Belmondo,BEL,Pacific Ilmor,1:33.006,22
