Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,5,Michael Schumacher,MSC,Benetton Ford,1:18.258,21
2,0,Damon Hill,HIL,Williams Renault,1:18.824,23
3,2,David Coulthard,COU,Williams Renault,1:20.205,14
4,28,Gerhard Berger,BER,Ferrari,1:20.219,22
5,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:20.232,23
6,8,Martin Brundle,BRU,McLaren Peugeot,1:20.629,22
7,15,Eddie Irvine,IRV,Jordan Hart,1:20.698,23
8,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:20.858,24
9,26,Olivier Panis,PAN,Ligier Renault,1:20.929,23
10,14,Rubens Barrichello,BAR,Jordan Hart,1:20.952,24
11,4,Mark Blundell,BLU,Tyrrell Yamaha,1:20.984,24
12,6,Jos Verstappen,VER,Benetton Ford,1:21.141,14
13,27,Jean Alesi,ALE,Ferrari,1:21.206,23
14,7,Philippe Alliot,ALL,McLaren Peugeot,1:21.498,20
15,23,Pierluigi Martini,MAR,Minardi Ford,1:21.837,16
16,9,Christian Fittipaldi,FIT,Footwork Ford,1:21.873,22
17,29,Andrea de Cesaris,DEC,Sauber Mercedes,1:21.946,24
18,25,Eric Bernard,BER,Ligier Renault,1:22.038,22
19,10,Gianni Morbidelli,MOR,Footwork Ford,1:22.311,15
20,24,Michele Alboreto,ALB,Minardi Ford,1:22.379,22
21,20,Erik Comas,COM,Larrousse Ford,1:22.487,24
22,11,Alessandro Zanardi,ZAN,Lotus Mugen Honda,1:22.513,22
23,31,David Brabham,BRA,Simtek Ford,1:22.614,24
24,12,Johnny Herbert,HER,Lotus Mugen Honda,1:22.705,24
25,19,Olivier Beretta,BER,Larrousse Ford,1:22.899,24
26,32,Jean-Marc Gounon,GOU,Simtek Ford,1:24.191,20
27,34,Bertrand Gachot,GAC,Pacific Ilmor,1:24.908,22
28,33,Paul Belmondo,BEL,Pacific Ilmor,1:26.275,22
