Position,Driver Number,Driver,Driver Abbreviation,Car,Time,Laps
1,27,Jean Alesi,ALE,Ferrari,1:23.844,19
2,28,Gerhard Berger,BER,Ferrari,1:23.978,24
3,0,Damon Hill,HIL,Williams Renault,1:24.158,21
4,12,Johnny Herbert,HER,Lotus Mugen Honda,1:24.374,23
5,2,David Coulthard,COU,Williams Renault,1:24.502,21
6,26,Olivier Panis,PAN,Ligier Renault,1:25.455,23
7,7,Mika Hakkinen,HAK,McLaren Peugeot,1:25.528,24
8,29,Andrea de Cesaris,DEC,Sauber Mercedes,1:25.540,23
9,15,Eddie Irvine,IRV,Jordan Hart,1:25.568,12
10,6,Jos Verstappen,VER,Benetton Ford,1:25.618,18
11,30,Heinz-Harald Frentzen,FRE,Sauber Mercedes,1:25.628,20
12,25,Eric Bernard,BER,Ligier Renault,1:25.718,20
13,11,Alessandro Zanardi,ZAN,Lotus Mugen Honda,1:25.733,23
14,3,Ukyo Katayama,KAT,Tyrrell Yamaha,1:25.889,23
15,8,Martin Brundle,BRU,McLaren Peugeot,1:25.933,23
16,14,Rubens Barrichello,BAR,Jordan Hart,1:25.946,20
17,10,Gianni Morbidelli,MOR,Footwork Ford,1:26.002,24
18,23,Pierluigi Martini,MAR,Minardi Ford,1:26.056,14
19,9,Christian Fittipaldi,FIT,Footwork Ford,1:26.337,24
20,5,Jyrki Jarvilehto,JAR,Benetton Ford,1:26.384,24
21,4,Mark Blundell,BLU,Tyrrell Yamaha,1:26.574,18
22,24,Michele Alboreto,ALB,Minardi Ford,1:26.832,17
23,19,Yannick Dalmas,DAL,Larrousse Ford,1:27.846,21
24,20,Erik Comas,COM,Larrousse Ford,1:27.894,15
25,32,Jean-Marc Gounon,GOU,Simtek Ford,1:28.353,23
26,31,David Brabham,BRA,Simtek Ford,1:28.619,17
27,34,Bertrand Gachot,GAC,Pacific Ilmor,1:31.387,18
28,33,Paul Belmondo,BEL,Pacific Ilmor,1:32.035,12
