Grand Prix,Date,Winner,Winner Abbreviation,Car,Laps,Time
argentina,09 Jan 1977,Jody Scheckter,SCH,Wolf Ford,53,1:40:11.190
brazil,23 Jan 1977,Carlos Reutemann,REU,Ferrari,40,1:45:07.720
south-africa,05 Mar 1977,Niki Lauda,LAU,Ferrari,78,1:42:21.600
usa-west,03 Apr 1977,Mario Andretti,AND,Lotus Ford,80,1:51:35.470
spain,08 May 1977,Mario Andretti,AND,Lotus Ford,75,1:42:52.220
monaco,22 May 1977,Jody Scheckter,SCH,Wolf Ford,76,1:57:52.770
belgium,05 Jun 1977,Gunnar Nilsson,NIL,Lotus Ford,70,1:55:05.710
sweden,19 Jun 1977,Jacques Laffite,LAF,Ligier Matra,72,1:46:55.520
france,03 Jul 1977,Mario Andretti,AND,Lotus Ford,80,1:39:40.130
great-britain,16 Jul 1977,James Hunt,HUN,McLaren Ford,68,1:31:46.060
germany,31 Jul 1977,Niki Lauda,LAU,Ferrari,47,1:31:48.620
austria,14 Aug 1977,Alan Jones,JON,Shadow Ford,54,1:37:16.490
netherlands,28 Aug 1977,Niki Lauda,LAU,Ferrari,75,1:41:45.930
italy,11 Sep 1977,Mario Andretti,AND,Lotus Ford,52,1:27:50.300
usa-east,02 Oct 1977,James Hunt,HUN,McLaren Ford,59,1:58:23.267
canada,09 Oct 1977,Jody Scheckter,SCH,Wolf Ford,80,1:40:00.000
japan,23 Oct 1977,James Hunt,HUN,McLaren Ford,73,1:31:51.680
